id;name;description;picture;icone;price_per_hour
1;stable;Generic Oregon;Frozen Gateway;Practical;44413
2;Alley Equatorial Guinea Tennessee;Marketing Buckinghamshire;Michigan;teal;20126
3;Garden;transitional;collaborative fuchsia navigate;Expressway;38815
4;unleash Steel Shoes;Liaison Program;Fields;ROI Texas ivory;16828
5;help-desk one-to-one Architect;navigate;Fantastic Rubber Ball Borders USB;e-tailers Gloves wireless;80292
6;Clothing;Strategist;Creative embrace;Communications disintermediate;77519
7;demand-driven;Nebraska mission-critical;orchestrate quantifying Rubber;Hong Kong feed red;27931
8;open-source mint green synthesizing;card;Coordinator;Kansas protocol;43212
9;deliver;Steel;transmitting;AGP European Monetary Unit (E.M.U.-6) programming;78318
10;Computer Customer-focused SMTP;Integration Unbranded Granite Pants navigating;Pants Awesome;CSS Refined;71164
